name,price,type,efficiency,wattage,modular,color,brand,slug
ROG Strix,169.99,ATX,gold,850,Full,White,Asus,asus-rog-strix-850-gold
SuperNOVA 1300 G+,239.99,ATX,gold,1300,Full,Black,EVGA,evga-supernova-1300-g-1300-gold
APX,54.99,ATX,plus,550,Non-modular,Black,Montech,montech-apx-550-plus
650 GQ,146.03,ATX,gold,650,Semi,,EVGA,evga-650-gq-650-gold
SFX,232.63,SFX,titanium,800,Full,Black,Silverstone,silverstone-sfx-800-titanium
quiet! Straight Power 12,169.9,ATX,platinum,850,Full,Black,be,be-quiet-straight-power-12-850-platinum
quiet! Pure Power 13 M,159.9,ATX,gold,1000,Full,Black,be,be-quiet-pure-power-13-m-1000-gold
ROG LOKI,189.99,SFX,platinum,750,Full,Black / Silver,Asus,asus-rog-loki-750-platinum
UD1000GM PG5 (rev. 2.0),147.97,ATX,gold,1000,Full,Black,Gigabyte,gigabyte-ud1000gm-pg5-rev-2-0-1000-gold
quiet! Pure Power 12,163.81,ATX,gold,650,Non-modular,Black,be,be-quiet-pure-power-12-650-gold
C1500,369.99,ATX,platinum,1500,Full,Black,NZXT,nzxt-c1500-1500-platinum
VERTEX PX-1000,269.99,ATX,platinum,1000,Full,Black / Silver,SeaSonic,seasonic-vertex-px-1000-1000-platinum
"Group Hydro Ti PRO,Gen 5",269.99,ATX,titanium,1000,Full,Black,FSP,fsp-group-hydro-ti-pro-gen-5-1000-titanium
Toughpower GF3 Snow,185.99,ATX,gold,1200,Full,White,Thermaltake,thermaltake-toughpower-gf3-snow-1200-gold
Smart BM3,99.99,ATX,bronze,850,Semi,Black,Thermaltake,thermaltake-smart-bm3-850-bronze
ROG LOKI,219.99,SFX,platinum,850,Full,Black / Silver,Asus,asus-rog-loki-850-platinum
ROG Strix,122.5,ATX,gold,750,Full,Black / Red,Asus,asus-rog-strix-750-gold
S12III,88.0,ATX,bronze,650,Non-modular,Black,SeaSonic,seasonic-s12iii-650-bronze
FX600 Platinum,210.78,Flex ATX,,600,Non-modular,Black,Silverstone,silverstone-fx600-platinum-600-nan
Focus GX V4 ATX 3 (2024),168.99,ATX,gold,850,Full,White,SeaSonic,seasonic-focus-gx-v4-atx-3-2024-850-gold
SuperNOVA 650 G3,182.49,ATX,gold,650,Full,,EVGA,evga-supernova-650-g3-650-gold
GV1000,129.99,ATX,gold,1000,Full,Black,Vetroo,vetroo-gv1000-1000-gold
ROG-STRIX-850G,179.6,ATX,gold,850,Full,Black,Asus,asus-rog-strix-850g-850-gold
RM750x,188.86,ATX,gold,750,Full,,Corsair,corsair-rm750x-750-gold
quiet! Dark Power 13,211.14,ATX,titanium,750,Full,Black,be,be-quiet-dark-power-13-750-titanium
Master V Platinum V2,309.99,ATX,platinum,1600,Full,Black / Purple,Cooler,cooler-master-v-platinum-v2-1600-platinum
Smart BX1 650,63.43,ATX,bronze,650,Non-modular,Black,Thermaltake,thermaltake-smart-bx1-650-650-bronze
SuperNOVA 1600 T2,699.99,ATX,titanium,1600,Full,,EVGA,evga-supernova-1600-t2-1600-titanium
CORE GX ATX 3 (2024),111.91,ATX,gold,850,Full,Black,SeaSonic,seasonic-core-gx-atx-3-2024-850-gold
GT,74.99,ATX,gold,750,Full,Black,SAMA,sama-gt-750-gold
RM850x,201.88,ATX,gold,850,Full,,Corsair,corsair-rm850x-850-gold
500 BR,165.0,ATX,bronze,500,Non-modular,,EVGA,evga-500-br-500-bronze
Toughpower SFX,194.99,SFX,platinum,1000,Full,Black,Thermaltake,thermaltake-toughpower-sfx-1000-platinum
Group Dagger Pro,137.43,SFX,gold,650,Full,Black,FSP,fsp-group-dagger-pro-650-gold
Flower Leadex III Gold UP,129.99,ATX,gold,850,Full,Black,Super,super-flower-leadex-iii-gold-up-850-gold
GT,79.99,ATX,gold,850,Full,Black,SAMA,sama-gt-850-gold
MPG A1250GS PCIE5,229.99,ATX,gold,1250,Full,Black,MSI,msi-mpg-a1250gs-pcie5-1250-gold
Li EDGE GOLD,99.99,ATX,gold,750,Full,Black,Lian,lian-li-edge-gold-750-gold
GT,79.99,ATX,gold,850,Full,White,SAMA,sama-gt-850-gold
quiet! Pure Power 12,119.9,ATX,gold,850,Non-modular,Black,be,be-quiet-pure-power-12-850-gold
Flower LEADEX VII Platinum PRO,199.99,ATX,platinum,1000,Full,Black,Super,super-flower-leadex-vii-platinum-pro-1000-platinum
C1200 (2024),196.99,ATX,gold,1200,Full,White,NZXT,nzxt-c1200-2024-1200-gold
SFX,87.31,SFX,bronze,300,Non-modular,Black,Silverstone,silverstone-sfx-300-bronze
ROG THOR P2 Gaming,209.12,ATX,platinum,850,Full,Black / Silver,Asus,asus-rog-thor-p2-gaming-850-platinum
ROG STRIX 1000G,290.95,ATX,gold,1000,Full,Black,Asus,asus-rog-strix-1000g-1000-gold
HX1000i,429.99,ATX,platinum,1000,Full,,Corsair,corsair-hx1000i-1000-platinum
Steel Legend SL-1000G,129.99,ATX,gold,1000,Full,Black,ASRock,asrock-steel-legend-sl-1000g-1000-gold
Phantom Gaming PG-850G,109.99,ATX,gold,850,Full,Black,ASRock,asrock-phantom-gaming-pg-850g-850-gold
FOCUS SGX (2021),210.99,SFX,gold,750,Full,Black,SeaSonic,seasonic-focus-sgx-2021-750-gold
CMG1000G5,99.99,ATX,gold,1000,Full,Black,Rosewill,rosewill-cmg1000g5-1000-gold
quiet! Pure Power 9 CM,249.62,ATX,bronze,600,Semi,Black,be,be-quiet-pure-power-9-cm-600-bronze
Toughpower SFX,159.99,SFX,platinum,850,Full,Black,Thermaltake,thermaltake-toughpower-sfx-850-platinum
