name,price,modules,price_per_gb,color,first_word_latency,cas_latency,ddr_generation,frequency_mhz,slug
TEAMGROUP T-Force Delta RGB 32 GB,136.69,"2,16",4.272,Black,10.0,18.0,DDR4,3600,teamgroup-t-force-delta-rgb-32-gb-ddr4-3600
G.Skill Ripjaws V 16 GB,45.99,"2,8",2.874,Black,10.0,18.0,DDR4,3600,g-skill-ripjaws-v-16-gb-ddr4-3600
G.Skill Trident Z Neo 32 GB,99.99,"2,16",3.125,Black / Silver,8.889,16.0,DDR4,3600,g-skill-trident-z-neo-32-gb-ddr4-3600
Timetec PINNACLE Konduit 32 GB,59.99,"2,16",1.875,Black,10.0,16.0,DDR4,3200,timetec-pinnacle-konduit-32-gb-ddr4-3200
Patriot Viper Venom RGB 32 GB,90.99,"2,16",2.843,Black / Silver,10.0,30.0,DDR5,6000,patriot-viper-venom-rgb-32-gb-ddr5-6000
Kingston FURY Beast 128 GB,402.99,"4,32",3.148,White,14.286,40.0,DDR5,5600,kingston-fury-beast-128-gb-ddr5-5600
Corsair Vengeance 48 GB,179.99,"2,24",3.75,Black / Gray,10.0,30.0,DDR5,6000,corsair-vengeance-48-gb-ddr5-6000
Kingston FURY Beast 16 GB,64.99,"2,8",4.062,Black / Silver,12.857,36.0,DDR5,5600,kingston-fury-beast-16-gb-ddr5-5600
G.Skill Trident Z5 Royal Neo RGB 96 GB,449.99,"2,48",4.687,Silver,9.333,28.0,DDR5,6000,g-skill-trident-z5-royal-neo-rgb-96-gb-ddr5-6000
TEAMGROUP T-Force Delta RGB 32 GB,107.99,"2,16",3.375,Black,10.0,32.0,DDR5,6400,teamgroup-t-force-delta-rgb-32-gb-ddr5-6400
G.Skill Ripjaws S5 96 GB,284.99,"2,48",2.969,Black,10.0,32.0,DDR5,6400,g-skill-ripjaws-s5-96-gb-ddr5-6400
