name,price,modules,price_per_gb,color,first_word_latency,cas_latency,ddr_generation,frequency_mhz,slug,capacity_gb,Benchmark
Corsair Vengeance LPX 32 GB,150.0,2,5.031,Black / Yellow,10.0,18.0,DDR4,3600.0,corsair-vengeance-lpx-32-gb-ddr4-3600,32,95.4
Corsair Vengeance RGB 32 GB,320.0,2,4.531,Black / Gray,10.0,30.0,DDR5,6000.0,corsair-vengeance-rgb-32-gb-ddr5-6000,32,206.0
Corsair Vengeance RGB 32 GB,320.0,2,4.531,Black / Gray,10.0,30.0,DDR5,6000.0,corsair-vengeance-rgb-32-gb-ddr5-6000,32,178.0
Corsair Vengeance RGB 64 GB,244.99,2,3.828,Black / Gray,10.0,32.0,DDR5,6400.0,corsair-vengeance-rgb-64-gb-ddr5-6400,64,207.0
Corsair Vengeance LPX 32 GB,150.0,2,2.684,Black / Yellow,8.889,16.0,DDR4,3600.0,corsair-vengeance-lpx-32-gb-ddr4-3600,32,95.4
Crucial Pro 32 GB,94.99,2,2.968,White,11.875,38.0,DDR5,6400.0,crucial-pro-32-gb-ddr5-6400,32,210.0
Crucial Pro 32 GB,94.99,2,2.968,White,11.875,38.0,DDR5,6400.0,crucial-pro-32-gb-ddr5-6400,32,210.0
Corsair Vengeance RGB 32 GB,320.0,2,3.812,White,13.333,40.0,DDR5,6000.0,corsair-vengeance-rgb-32-gb-ddr5-6000,32,206.0
Corsair Vengeance RGB 32 GB,320.0,2,3.812,White,13.333,40.0,DDR5,6000.0,corsair-vengeance-rgb-32-gb-ddr5-6000,32,178.0
Corsair Vengeance LPX 16 GB,60.0,2,5.374,Black / Yellow,10.0,15.0,DDR4,3000.0,corsair-vengeance-lpx-16-gb-ddr4-3000,16,90.9
Corsair Vengeance LPX 16 GB,60.0,2,5.374,Black / Yellow,10.0,15.0,DDR4,3000.0,corsair-vengeance-lpx-16-gb-ddr4-3000,16,90.9
Corsair Vengeance LPX 16 GB,60.0,2,5.374,Black / Yellow,10.0,15.0,DDR4,3000.0,corsair-vengeance-lpx-16-gb-ddr4-3000,16,90.9
Corsair Vengeance LPX 16 GB,60.0,2,5.374,Black / Yellow,10.0,15.0,DDR4,3000.0,corsair-vengeance-lpx-16-gb-ddr4-3000,16,81.9
Corsair Vengeance LPX 16 GB,60.0,2,5.374,Black / Yellow,10.0,15.0,DDR4,3000.0,corsair-vengeance-lpx-16-gb-ddr4-3000,16,81.9
