name,price,socket,form_factor,max_memory,memory_slots,color,slug
MSI MAG Z790 TOMAHAWK MAX WIFI,248.43,LGA1700,ATX,192,4,Black / Yellow,mag-z790-tomahawk-max-wifi
ASRock B850 Pro-A WiFi,177.99,AM5,ATX,256,4,Black / Silver,b850-pro-a-wifi
NZXT N9 X870E,459.99,AM5,ATX,192,4,White,nzxt-n9-x870e
ASRock B850M Pro RS,149.99,AM5,Micro ATX,256,4,Silver / Black,b850m-pro-rs
Asus B650E MAX GAMING WIFI,169.99,AM5,ATX,192,4,Black / Silver,b650e-max-gaming-wifi
Asus TUF GAMING B850-BTF WIFI W,279.99,AM5,ATX,256,4,White / Silver,tuf-gaming-b850-btf-wifi-w
ASRock H610M-HDV/M.2+ D5,89.57,LGA1700,Micro ATX,96,2,White / Black,h610m-hdv-m-2-d5
MSI PRO B650M-B,154.86,AM5,Micro ATX,96,2,Black,pro-b650m-b
MSI B450M PRO-VDH MAX,110.0,AM4,Micro ATX,64,4,Black / Silver,b450m-pro-vdh-max
Asus PRIME B650-PLUS,174.02,AM5,ATX,192,4,Black / Silver,prime-b650-plus
Asus PRIME Z790-P WIFI,249.99,LGA1700,ATX,192,4,Black / Silver,prime-z790-p-wifi
Gigabyte Z890 AORUS ELITE WIFI7,245.4,LGA1851,ATX,256,4,Black,z890-aorus-elite-wifi7
Asus TUF GAMING Z890-PLUS WIFI,260.0,LGA1851,ATX,192,4,Black,tuf-gaming-z890-plus-wifi
ASRock B850M-X,111.98,AM5,Micro ATX,128,2,Black / White,b850m-x
Asus ROG STRIX B650E-E GAMING WIFI,404.73,AM5,ATX,192,4,Black,rog-strix-b650e-e-gaming-wifi
Gigabyte B850M DS3H,154.99,AM5,Micro ATX,256,4,Gray / Black,b850m-ds3h
ASRock B650M PG RIPTIDE WIFI,185.99,AM5,Micro ATX,256,4,Black,b650m-pg-riptide-wifi
MSI X870E GAMING PLUS WIFI,329.99,AM5,ATX,256,4,Black,x870e-gaming-plus-wifi
Gigabyte Z790 AORUS PRO X,329.99,LGA1700,ATX,192,4,Silver,z790-aorus-pro-x
Gigabyte B650M D3HP,169.44,AM5,Micro ATX,192,4,Black,b650m-d3hp
Asus TUF GAMING A620M-PLUS WIFI,155.99,AM5,Micro ATX,192,4,Black / Orange,tuf-gaming-a620m-plus-wifi
Asus ProArt Z890-CREATOR WIFI,489.99,LGA1851,ATX,256,4,Black / Gold,proart-z890-creator-wifi
ASRock B550 Phantom Gaming 4,99.99,AM4,ATX,128,4,Silver / Black,b550-phantom-gaming-4
